PLAYER,TEAM,2026,CH 25-26,ST 25-26,2027,CH 26-27,ST 26-27,2028,CH 27-28,ST 27-28,2029,CH 28-29,ST 28-29,2030,CH 29-30,ST 29-30,2031,CH 30-31,ST 30-31,TOTAL GUARANTEED (with 2024-25)
Jaren Jackson Jr,Utah,"$35,000,000","$35,000,000",GUARANTEED,"$49,000,000","$49,000,000",GUARANTEED,"$50,500,000","$50,500,000",GUARANTEED,"$52,000,000","$52,000,000",GUARANTEED,"$53,500,000","$53,500,000",PLAYER OPT,,,,"$265,257,798"
Jusuf Nurkic,Utah,"$19,375,000","$19,375,000",GUARANTEED,,,,,,,,,,,,,,,,"$37,500,000"
Ace Bailey,Utah,"$9,069,840","$9,069,840",GUARANTEED,"$9,523,080","$9,523,080",GUARANTEED,"$9,976,560",$0,TEAM OPT,"$12,640,302",$0,TEAM OPT,,,,,,,"$18,592,920"
John Konchar,Utah,"$6,165,000","$6,165,000",GUARANTEED,"$6,165,000","$6,165,000",GUARANTEED,,,,,,,,,,,,,"$18,495,000"
Cody Williams,Utah,"$5,742,480","$5,742,480",GUARANTEED,"$6,015,600","$6,015,600",GUARANTEED,"$7,669,890",$0,TEAM OPT,,,,,,,,,,"$17,227,200"
Walker Kessler,Utah,"$4,878,938","$4,878,938",GUARANTEED,,,,,,,,,,,,,,,,"$7,844,858"
Keyonte George,Utah,"$4,278,960","$4,278,960",GUARANTEED,"$6,563,925","$6,563,925",GUARANTEED,,,,,,,,,,,,,"$14,927,085"
Kevin Love,Utah,"$4,150,000","$4,150,000",GUARANTEED,,,,,,,,,,,,,,,,"$8,000,000"
Sviatoslav Mykhailiuk,Utah,"$3,675,000","$3,675,000",GUARANTEED,"$3,850,000",$0,NOT G,"$4,025,000",$0,NOT G,,,,,,,,,,"$7,175,000"
Kyle Filipowski,Utah,"$3,000,000","$3,000,000",GUARANTEED,"$3,000,000",$0,NOT G,"$3,000,000",$0,TEAM OPT,,,,,,,,,,"$6,000,000"
Brice Sensabaugh,Utah,"$2,693,760","$2,693,760",GUARANTEED,"$4,862,237","$4,862,237",GUARANTEED,,,,,,,,,,,,,"$10,127,477"
Isaiah Collier,Utah,"$2,638,200","$2,638,200",GUARANTEED,"$2,763,960","$2,763,960",GUARANTEED,"$4,988,948",$0,TEAM OPT,,,,,,,,,,"$7,914,840"
Vince Williams Jr,Utah,"$2,301,587","$2,301,587",GUARANTEED,"$2,489,752",$0,TEAM OPT,,,,,,,,,,,,,"$4,422,280"
Oscar Tshiebwe,Utah,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Elijah Harkless,Utah,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Blake Hinson,Utah,"$202,680",$0,TWO-WAY,"$679,042",$0,TWO-WAY,,,,,,,,,,,,,$0
Anthony Davis,Washington,"$54,126,450","$54,126,450",GUARANTEED,"$58,456,566","$58,456,566",GUARANTEED,"$62,786,682","$62,786,682",PLAYER OPT,,"$121,243,248",,,,,,,,"$339,832,386"
Trae Young,Washington,"$46,394,100","$46,394,100",GUARANTEED,"$48,967,380","$48,967,380",PLAYER OPT,,,,,,,,,,,,,"$138,393,420"
Alex Sarr,Washington,"$11,808,240","$11,808,240",GUARANTEED,"$12,370,680","$12,370,680",GUARANTEED,"$15,611,798",$0,TEAM OPT,,,,,,,,,,"$35,424,600"
Tre Johnson,Washington,"$8,237,640","$8,237,640",GUARANTEED,"$8,649,600","$8,649,600",GUARANTEED,"$9,061,680",$0,TEAM OPT,"$11,490,210",$0,TEAM OPT,,,,,,,"$16,887,240"
Bilal Coulibaly,Washington,"$7,275,600","$7,275,600",GUARANTEED,"$9,240,012","$9,240,012",GUARANTEED,,,,,,,,,,,,,"$23,460,852"
Jaden Hardy,Washington,"$6,000,000","$6,000,000",GUARANTEED,"$6,000,000","$6,000,000",GUARANTEED,"$6,000,000",$0,TEAM OPT,,,,,,,,,,"$14,019,699"
D'Angelo Russell,Washington,"$5,685,000","$5,685,000",GUARANTEED,"$5,969,250","$5,969,250",PLAYER OPT,,,,,,,,,,,,,"$30,346,557"
Carlton Carrington,Washington,"$4,677,600","$4,677,600",GUARANTEED,"$4,900,560","$4,900,560",GUARANTEED,"$7,257,729",$0,TEAM OPT,,,,,,,,,,"$14,033,040"
Cam Whitmore,Washington,"$3,539,760","$3,539,760",GUARANTEED,"$5,458,310","$5,458,310",GUARANTEED,,,,,,,,,,,,,"$12,377,150"
Will Riley,Washington,"$3,512,520","$3,512,520",GUARANTEED,"$3,688,320","$3,688,320",GUARANTEED,"$3,864,000",$0,TEAM OPT,"$6,155,352",$0,TEAM OPT,,,,,,,"$7,200,840"
Tristan Vukcevic,Washington,"$3,000,000","$3,000,000",GUARANTEED,"$3,000,000","$3,000,000",GUARANTEED,"$3,000,000",$0,TEAM OPT,,,,,,,,,,"$6,000,000"
Kyshawn George,Washington,"$2,966,760","$2,966,760",GUARANTEED,"$3,108,000","$3,108,000",GUARANTEED,"$5,435,892",$0,TEAM OPT,,,,,,,,,,"$8,900,280"
Anthony Gill,Washington,"$2,667,947","$2,296,274",GUARANTEED,,,,,,,,,,,,,,,,"$4,905,638"
Justin Champagnie,Washington,"$2,349,578","$2,349,578",GUARANTEED,"$2,667,944",$0,NOT G,"$3,005,085",$0,TEAM OPT,,,,,,,,,,"$4,149,578"
Jamir Watkins,Washington,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Sharife Cooper,Washington,"$636,435",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Leaky Black,Washington,"$164,074",$0,TWO-WAY,,,,,,,,,,,,,,,,$0
Alondes Williams,Washington,"$136,717","$131,970",10-DAY,,,,,,,,,,,,,,,,"$131,970"
Malik Beasley,,,,,,,,,,,,,,,,,,,,"$6,000,000"
Chris Paul,,,,,,,,,,,,,,,,,,,,"$10,983,000"
Spencer Dinwiddie,,,,,,,,,,,,,,,,,,,,"$3,303,771"
Lonzo Ball,,,,,,,,,,,,,,,,,,,,"$21,395,348"
Orlando Robinson,,,,,,,,,,,,,,,,,,,,$0
Georges Niang,,,,,,,,,,,,,,,,,,,,"$8,500,000"
Jeremiah Robinson-Earl,,,,,,,,,,,,,,,,,,,,"$2,196,970"
Keon Johnson,,,,,,,,,,,,,,,,,,,,"$2,162,606"
Tony Bradley,,,,,,,,,,,,,,,,,,,,"$330,395"
Trey Lyles,,,,,,,,,,,,,,,,,,,,"$8,000,000"
Duop Reath,,,,,,,,,,,,,,,,,,,,"$2,048,780"
Jared Butler,,,,,,,,,,,,,,,,,,,,"$745,726"
Johnny Juzang,,,,,,,,,,,,,,,,,,,,"$3,087,519"
Cory Joseph,,,,,,,,,,,,,,,,,,,,"$3,303,771"
Jeff Dowtin,,,,,,,,,,,,,,,,,,,,$0
Alec Burks,,,,,,,,,,,,,,,,,,,,"$3,303,771"
Lonnie Walker,,,,,,,,,,,,,,,,,,,,"$780,932"
Kai Jones,,,,,,,,,,,,,,,,,,,,$0
Malaki Branham,,,,,,,,,,,,,,,,,,,,"$3,217,920"
Ricky Council IV,,,,,,,,,,,,,,,,,,,,"$1,891,857"
Richaun Holmes,,,,,,,,,,,,,,,,,,,,"$12,648,321"
Talen Horton-Tucker,,,,,,,,,,,,,,,,,,,,"$2,425,403"
DaQuan Jeffries,,,,,,,,,,,,,,,,,,,,"$2,425,404"
Jared Rhoden,,,,,,,,,,,,,,,,,,,,$0
Colby Jones,,,,,,,,,,,,,,,,,,,,"$2,120,691"
Bol Bol,,,,,,,,,,,,,,,,,,,,"$2,425,403"
Keion Brooks,,,,,,,,,,,,,,,,,,,,$0
Delon Wright,,,,,,,,,,,,,,,,,,,,"$3,003,427"
Kessler Edwards,,,,,,,,,,,,,,,,,,,,$0
Garrison Mathews,,,,,,,,,,,,,,,,,,,,"$2,230,253"
Hunter Tyson,,,,,,,,,,,,,,,,,,,,"$1,891,857"
Dante Exum,,,,,,,,,,,,,,,,,,,,"$3,150,000"
Maxwell Lewis,,,,,,,,,,,,,,,,,,,,"$1,891,857"
Ben Simmons,,,,,,,,,,,,,,,,,,,,"$1,082,061"
Torrey Craig,,,,,,,,,,,,,,,,,,,,"$1,046,289"
Lamar Stevens,,,,,,,,,,,,,,,,,,,,"$411,529"
KJ Martin,,,,,,,,,,,,,,,,,,,,"$7,975,000"
Alex Reese,,,,,,,,,,,,,,,,,,,,$0
Chris Youngblood,,,,,,,,,,,,,,,,,,,,$0
Chuma Okeke,,,,,,,,,,,,,,,,,,,,"$115,743"
Kevin Knox,,,,,,,,,,,,,,,,,,,,"$330,395"
Cody Martin,,,,,,,,,,,,,,,,,,,,"$8,120,000"
Marcus Bagley,,,,,,,,,,,,,,,,,,,,$0
Chris Boucher,,,,,,,,,,,,,,,,,,,,"$10,810,000"
Jalen Hood-Schifino,,,,,,,,,,,,,,,,,,,,$0
Elfrid Payton,,,,,,,,,,,,,,,,,,,,"$34,351"
Trevelin Queen,,,,,,,,,,,,,,,,,,,,$0
Jaylen Martin,,,,,,,,,,,,,,,,,,,,$0
Shake Milton,,,,,,,,,,,,,,,,,,,,"$2,875,000"
Markelle Fultz,,,,,,,,,,,,,,,,,,,,"$981,902"
Reece Beekman,,,,,,,,,,,,,,,,,,,,$0
Moses Brown,,,,,,,,,,,,,,,,,,,,$0
Tristan Thompson,,,,,,,,,,,,,,,,,,,,"$3,303,771"
Cole Swider,,,,,,,,,,,,,,,,,,,,$0
Monte Morris,,,,,,,,,,,,,,,,,,,,"$2,800,834"
JT Thor,,,,,,,,,,,,,,,,,,,,$0
Jaden Springer,,,,,,,,,,,,,,,,,,,,"$634,437"
Dariq Whitehead,,,,,,,,,,,,,,,,,,,,"$3,114,240"
Lester Quinones,,,,,,,,,,,,,,,,,,,,$0
Kadary Richmond,,,,,,,,,,,,,,,,,,,,$0
Adam Flagler,,,,,,,,,,,,,,,,,,,,$0
Patrick Mills,,,,,,,,,,,,,,,,,,,,"$3,303,771"
Oshae Brissett,,,,,,,,,,,,,,,,,,,,$0
Luke Travers,,,,,,,,,,,,,,,,,,,,$0
Damion Baugh,,,,,,,,,,,,,,,,,,,,$0
Taj Gibson,,,,,,,,,,,,,,,,,,,,"$3,303,771"
Skal Labissiere,,,,,,,,,,,,,,,,,,,,$0
N'Faly Dante,,,,,,,,,,,,,,,,,,,,$0
Jacob Toppin,,,,,,,,,,,,,,,,,,,,$0
Chris Livingston,,,,,,,,,,,,,,,,,,,,"$1,891,857"
Eric Gordon,,,,,,,,,,,,,,,,,,,,$0
Jaylen Sims,,,,,,,,,,,,,,,,,,,,$0
Alex Ducas,,,,,,,,,,,,,,,,,,,,$0
Lawson Lovering,,,,,,,,,,,,,,,,,,,,$0
Nigel Hayes,,,,,,,,,,,,,,,,,,,,$0
Malachi Flynn,,,,,,,,,,,,,,,,,,,,$0
Tyler Smith,,,,,,,,,,,,,,,,,,,,"$1,157,153"
Jackson Rowe,,,,,,,,,,,,,,,,,,,,$0
Emoni Bates,,,,,,,,,,,,,,,,,,,,$0
Markieff Morris,,,,,,,,,,,,,,,,,,,,"$3,303,771"
Damion Lee,,,,,,,,,,,,,,,,,,,,"$2,800,834"
Drew Peterson,,,,,,,,,,,,,,,,,,,,$0
Josh Christopher,,,,,,,,,,,,,,,,,,,,$0
Marcus Garrett,,,,,,,,,,,,,,,,,,,,$0
Justin Minaya,,,,,,,,,,,,,,,,,,,,$0
Charles Bassey,,,,,,,,,,,,,,,,,,,,"$2,162,606"
David Roddy,,,,,,,,,,,,,,,,,,,,$0
Mo Bamba,,,,,,,,,,,,,,,,,,,,$0
Mark Sears,,,,,,,,,,,,,,,,,,,,$0
Alex Len,,,,,,,,,,,,,,,,,,,,"$1,177,206"
Dario Saric,,,,,,,,,,,,,,,,,,,,"$5,168,000"
Vlatko Cancar,,,,,,,,,,,,,,,,,,,,"$2,425,403"
Miles Norris,,,,,,,,,,,,,,,,,,,,$0
David Duke,,,,,,,,,,,,,,,,,,,,$0
Kylor Kelley,,,,,,,,,,,,,,,,,,,,$0
James Johnson,,,,,,,,,,,,,,,,,,,,"$3,303,771"
PJ Tucker,,,,,,,,,,,,,,,,,,,,"$246,833"
Yuri Collins,,,,,,,,,,,,,,,,,,,,$0
Stanley Umude,,,,,,,,,,,,,,,,,,,,$0
Isaiah Mobley,,,,,,,,,,,,,,,,,,,,$0
Braxton Key,,,,,,,,,,,,,,,,,,,,"$12,429"
Anton Watson,,,,,,,,,,,,,,,,,,,,$0
Mason Jones,,,,,,,,,,,,,,,,,,,,$0
Jalen Bridges,,,,,,,,,,,,,,,,,,,,$0
James Wiseman,,,,,,,,,,,,,,,,,,,,$0
Hunter Sallis,,,,,,,,,,,,,,,,,,,,$0
Jae Crowder,,,,,,,,,,,,,,,,,,,,"$2,620,232"
Trentyn Flowers,,,,,,,,,,,,,,,,,,,,$0
Keshon Gilbert,,,,,,,,,,,,,,,,,,,,$0
Terry Taylor,,,,,,,,,,,,,,,,,,,,$0
Terence Davis,,,,,,,,,,,,,,,,,,,,"$64,301"
Jalen McDaniels,,,,,,,,,,,,,,,,,,,,$0
Jack McVeigh,,,,,,,,,,,,,,,,,,,,$0
Matt Ryan,,,,,,,,,,,,,,,,,,,,$0
Nikola Djurisic,,,,,,,,,,,,,,,,,,,,$0
Malcolm Brogdon,,,,,,,,,,,,,,,,,,,,"$22,500,000"
BJ Boston,,,,,,,,,,,,,,,,,,,,"$596,581"
Jazian Gortman,,,,,,,,,,,,,,,,,,,,$0
Chris Duarte,,,,,,,,,,,,,,,,,,,,$0
Ulrich Chomche,,,,,,,,,,,,,,,,,,,,$0
Zyon Pullin,,,,,,,,,,,,,,,,,,,,$0
Cam Reddish,,,,,,,,,,,,,,,,,,,,$0
Jahmyl Telfort,,,,,,,,,,,,,,,,,,,,$0
Phillip Wheeler,,,,,,,,,,,,,,,,,,,,$0
Vasilije Micic,,,,,,,,,,,,,,,,,,,,"$7,723,000"
